Month,Year,Number_fires,Lag_1,Lag_2,Lag_3,RollMean_3,RollStd_3,RollSum_3,is_summer,Month_sin,Month_cos,Jurisdiction_raw,REG_Alberta,REG_British Columbia,REG_Manitoba,REG_New Brunswick,REG_Newfoundland and Labrador,REG_Northwest Territories,REG_Nova Scotia,REG_Ontario,REG_Prince Edward Island,REG_Quebec,REG_Saskatchewan,REG_Yukon,temperature_2m_mean (°C)_lag1,relative_humidity_2m_mean (%)_lag1,temperature_2m_max (°C)_lag1,relative_humidity_2m_min (%)_lag1,et0_fao_evapotranspiration (mm)_lag1,summer_temp,summer_dryness,summer_lag,pre_summer_heat,spring_dryness
10,2021,24,53,263,784,366.6666666666667,376.3646281644083,1100.0,0,-0.8660254037844386,0.5000000000000001,British Columbia,0,1,0,0,0,0,0,0,0,0,0,0,12.28111111111111,68.14444444444445,18.197777777777777,39.577777777777776,2.237,0.0,0.0,0,76.46673835125446,13.259322580645158
11,2021,4,24,53,263,113.33333333333333,130.4236686086286,340.0,0,-0.5000000000000004,0.8660254037844384,British Columbia,0,1,0,0,0,0,0,0,0,0,0,0,5.096774193548387,73.81720430107528,9.378494623655914,50.37634408602151,1.1204301075268817,0.0,0.0,0,70.09562724014336,10.867322580645158
12,2021,2,4,24,53,27.0,24.63736998951099,81.0,0,-2.4492935982947064e-16,1.0,British Columbia,0,1,0,0,0,0,0,0,0,0,0,0,0.1344444444444443,78.44444444444444,4.175555555555556,61.95555555555556,0.5165555555555555,0.0,0.0,0,51.946164874551954,6.96527956989247
2,2022,2,,2,4,,,,0,0.8660254037844386,0.5000000000000001,British Columbia,0,1,0,0,0,0,0,0,0,0,0,0,-6.754838709677419,78.17204301075269,-2.429032258064516,64.3763440860215,0.3670967741935484,-0.0,0.0,,6.230394265232959,1.909351254480283
3,2022,14,2,,2,,,,0,1.0,6.123233995736766e-17,British Columbia,0,1,0,0,0,0,0,0,0,0,0,0,-4.060714285714286,71.61904761904762,1.3,52.94047619047619,0.7332142857142857,0.0,0.0,0,-5.5771326164874715,1.1560179211469497
4,2022,81,14,2,,,,,0,0.8660254037844387,-0.4999999999999998,British Columbia,0,1,0,0,0,0,0,0,0,0,0,0,0.5645161290322581,71.2258064516129,6.790322580645161,45.344086021505376,1.375268817204301,0.0,0.0,0,-8.452688172043027,1.3726766513056798
5,2022,57,81,14,2,32.333333333333336,42.57150846908515,97.0,0,0.49999999999999994,-0.8660254037844387,British Columbia,0,1,0,0,0,0,0,0,0,0,0,0,2.102222222222222,60.64444444444444,8.044444444444444,34.31111111111111,2.177222222222222,0.0,0.0,0,5.661290322580627,2.475579877112132
6,2022,73,57,81,14,50.666666666666664,33.94603560555173,152.0,1,1.2246467991473532e-16,-1.0,British Columbia,0,1,0,0,0,0,0,0,0,0,0,0,8.133333333333333,64.48387096774194,13.976344086021506,37.66666666666667,2.9625806451612906,13.976344086021506,0.07661846496106785,57,16.134767025089587,4.285705325140805
7,2022,279,73,57,81,70.33333333333333,12.220201853217548,211.0,1,-0.4999999999999997,-0.8660254037844388,British Columbia,0,1,0,0,0,0,0,0,0,0,0,0,13.904444444444444,68.46666666666667,19.98333333333333,40.62222222222223,3.747,19.98333333333333,0.09002402562733582,73,28.811111111111092,6.515071684587809
8,2022,935,279,73,57,136.33333333333334,123.81168496282315,409.0,1,-0.8660254037844385,-0.5000000000000004,British Columbia,0,1,0,0,0,0,0,0,0,0,0,0,18.451612903225808,62.72043010752688,25.396774193548385,36.45161290322581,4.468817204301075,25.396774193548385,0.11932242319839219,279,42.00412186379926,8.886802867383508
