latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
46.151142,-62.914032,0.0,0,GMT,GMT

time,temperature_2m_mean (°C),temperature_2m_max (°C),precipitation_sum (mm),precipitation_hours (h),wind_direction_10m_dominant (°),et0_fao_evapotranspiration (mm),wind_speed_10m_max (km/h),wind_speed_10m_mean (km/h),relative_humidity_2m_mean (%),relative_humidity_2m_min (%)
1990-10-03,9.8,11.0,4.70,15.0,310,2.06,34.2,25.6,73,53
1990-10-04,11.5,14.9,0.00,0.0,268,3.09,27.8,18.1,56,45
1990-10-05,14.7,17.1,3.40,5.0,207,2.69,38.0,26.6,75,56
1990-10-06,14.6,19.1,0.00,0.0,226,3.04,28.7,22.6,69,57
1990-10-07,16.2,17.5,0.00,0.0,248,2.36,33.9,18.8,77,71
1990-10-08,12.4,13.6,0.50,2.0,45,1.41,18.6,15.3,81,75
1990-10-09,12.7,15.5,0.10,1.0,103,1.07,17.6,14.5,82,75
1990-10-10,11.4,15.6,0.30,2.0,9,1.18,24.7,19.8,82,67
1990-10-11,11.0,13.8,0.00,0.0,110,1.67,22.8,17.4,69,65
1990-10-12,15.6,20.0,0.00,0.0,187,1.33,19.2,13.2,84,76
1990-10-13,18.3,21.3,0.00,0.0,199,1.47,21.8,14.6,90,75
1990-10-14,18.7,20.2,30.00,14.0,182,0.75,22.4,17.8,93,87
1990-10-15,16.4,19.8,0.60,1.0,258,1.58,22.5,12.7,87,69
1990-10-16,13.1,17.4,1.10,3.0,279,2.65,29.5,23.2,66,51
1990-10-17,12.1,14.9,0.00,0.0,262,3.13,30.8,24.9,56,48
1990-10-18,14.2,17.7,0.00,0.0,213,1.85,25.8,16.5,73,64
1990-10-19,16.0,18.4,1.00,4.0,186,1.74,49.4,33.8,81,68
1990-10-20,7.4,11.9,0.90,3.0,274,2.80,46.2,38.6,55,48
1990-10-21,7.4,9.6,0.00,0.0,304,2.11,27.6,13.1,60,54
1990-10-22,10.4,14.7,0.00,0.0,211,1.77,25.6,21.4,77,65
1990-10-23,10.4,12.8,1.20,4.0,347,1.17,18.6,14.5,81,69
1990-10-24,10.7,15.1,13.10,16.0,121,0.86,39.6,26.1,85,69
